instance;time;cost;path;peak_memory_usage_in_MB;error in %
10
m8.txt;320695600;238;0-3-2-4-5-7-6-1;0.0078125;3600
m12.txt;396811100;296;0-1-7-9-11-2-6-4-8-5-3-10;0.0;3200
gr21.txt;532357900;2998;0-18-16-9-17-12-13-14-1-20-19-10-3-11-6-7-5-15-4-8-2;0.0;29100
50
m8.txt;330468700;238;0-3-2-4-5-7-6-1;0.0;3600
m12.txt;367375600;264;0-1-8-4-6-2-11-9-7-5-3-10;0.0;0
gr21.txt;535917000;2998;0-18-16-9-17-12-13-14-1-20-19-10-3-11-6-7-5-15-4-8-2;0.0;29100
100
m8.txt;319386600;260;0-3-4-2-5-7-6-1;0.0;5800
m12.txt;406801500;296;0-1-7-9-11-2-6-4-8-5-3-10;0.0;3200
gr21.txt;540929400;2998;0-18-16-9-17-12-13-14-1-20-19-10-3-11-6-7-5-15-4-8-2;0.0;29100
500
m8.txt;302968900;238;0-3-2-4-5-7-6-1;0.0;3600
m12.txt;386789200;296;0-1-7-9-11-2-6-4-8-5-3-10;0.0;3200
gr21.txt;530286700;2998;0-18-16-9-17-12-13-14-1-20-19-10-3-11-6-7-5-15-4-8-2;0.0;29100
1000
m8.txt;329305500;260;0-3-4-2-5-7-6-1;0.0;5800
m12.txt;402188900;296;0-1-7-9-11-2-6-4-8-5-3-10;0.0;3200
gr21.txt;532107700;2998;0-18-16-9-17-12-13-14-1-20-19-10-3-11-6-7-5-15-4-8-2;0.0;29100
